model,steering_vector,position,method,set,r2,intercept,top_features
gemma2,1161,-1,diff,pos-vs-neg,,,20.residual:-2.1719;0.residual:1.1749;13.mlp:-0.7548;20.mlp:-0.7209;16.attention:0.6832;11.attention:0.5318;0.mlp:-0.5162;14.mlp:-0.4744;7.attention:0.4209;1.attention:0.3904;4.attention:0.3739;9.mlp:-0.3668;17.attention:-0.3633;4.mlp:-0.3431;19.mlp:0.3341;8.mlp:0.3298;10.mlp:-0.3157;12.attention:0.3122;1.mlp:-0.3104;5.mlp:0.3012;16.mlp:-0.2825;6.mlp:-0.2787;8.attention:-0.2756;13.attention:0.2735;3.attention:0.2319;11.mlp:-0.2270;10.attention:-0.2194;6.attention:0.2188;15.attention:-0.2112;9.attention:-0.2031;0.attention:-0.1803;15.mlp:-0.1438;19.attention:-0.1397;18.mlp:-0.1138;3.mlp:-0.0999;7.mlp:0.0946;18.attention:0.0876;20.attention:-0.0769;5.attention:-0.0595;2.attention:0.0514;12.mlp:-0.0309;2.mlp:0.0229;14.attention:-0.0198;17.mlp:-0.0166
gemma2,1161,-2,diff,pos-vs-neg,,,20.residual:9.5965;11.mlp:0.6195;4.attention:0.5760;9.attention:-0.5688;0.residual:-0.4907;1.attention:-0.4246;6.mlp:0.4245;6.attention:0.4135;7.mlp:0.4074;8.mlp:0.4053;4.mlp:0.3634;10.attention:-0.3274;19.attention:-0.3133;3.mlp:-0.3093;2.mlp:0.3080;20.mlp:0.3023;18.attention:-0.2988;19.mlp:0.2929;17.mlp:0.2891;16.attention:0.2792;14.mlp:0.2776;12.mlp:0.2583;8.attention:-0.2473;5.mlp:0.2273;13.mlp:-0.2234;15.mlp:0.2018;15.attention:-0.2012;14.attention:-0.1545;1.mlp:0.1319;18.mlp:0.1266;0.mlp:0.1233;17.attention:0.0842;12.attention:0.0820;2.attention:-0.0778;11.attention:-0.0739;0.attention:0.0459;16.mlp:-0.0295;5.attention:0.0259;10.mlp:0.0193;7.attention:0.0171;3.attention:0.0150;20.attention:0.0135;9.mlp:0.0117;13.attention:0.0089
gemma2,1161,-3,diff,pos-vs-neg,,,20.residual:14.0321;0.attention:1.2027;0.residual:-1.1560;20.mlp:0.7055;8.mlp:0.7033;7.mlp:0.5684;17.mlp:0.5622;0.mlp:0.5412;11.mlp:0.5175;9.attention:-0.5021;4.attention:0.5020;6.attention:0.4643;18.mlp:0.4353;19.mlp:0.4199;13.mlp:-0.3736;8.attention:-0.3398;2.mlp:0.3238;5.mlp:0.3141;10.attention:-0.3088;6.mlp:0.2781;15.mlp:0.2678;9.mlp:0.2177;3.mlp:0.2175;20.attention:0.2022;17.attention:0.1910;16.attention:0.1742;4.mlp:-0.1503;19.attention:-0.1395;1.attention:0.1387;1.mlp:0.1285;12.mlp:-0.1270;18.attention:-0.1241;2.attention:-0.1208;15.attention:-0.1187;10.mlp:0.1178;16.mlp:0.1135;7.attention:-0.1020;14.mlp:0.0873;14.attention:-0.0717;13.attention:-0.0690;12.attention:-0.0649;5.attention:0.0561;11.attention:-0.0410;3.attention:0.0353
gemma2,1200,-1,diff,pos-vs-neg,,,20.residual:2.0460;0.residual:0.9676;11.attention:0.6369;3.attention:0.6046;7.attention:0.5974;13.mlp:-0.5934;1.mlp:-0.5567;20.mlp:-0.5537;16.attention:0.5486;0.mlp:-0.4525;4.attention:0.4015;19.attention:-0.2860;2.mlp:0.2726;12.mlp:0.2343;14.mlp:-0.2186;6.attention:0.2096;1.attention:0.1895;17.attention:-0.1781;19.mlp:0.1701;4.mlp:-0.1655;3.mlp:-0.1593;15.attention:0.1545;12.attention:0.1523;2.attention:0.1422;5.attention:0.1417;11.mlp:0.1224;7.mlp:-0.0968;13.attention:0.0940;16.mlp:-0.0929;8.mlp:-0.0821;14.attention:-0.0577;18.attention:-0.0568;9.mlp:-0.0539;10.mlp:-0.0461;5.mlp:0.0448;17.mlp:-0.0415;0.attention:-0.0391;6.mlp:-0.0328;9.attention:0.0319;10.attention:0.0292;20.attention:0.0233;18.mlp:-0.0154;8.attention:0.0126;15.mlp:-0.0069
gemma2,1200,-2,diff,pos-vs-neg,,,20.residual:8.4401;11.mlp:0.6831;3.mlp:-0.4707;6.mlp:0.4645;4.attention:0.4491;0.residual:-0.4047;4.mlp:0.3861;15.attention:0.3656;7.attention:0.3448;0.attention:0.3367;1.mlp:0.3147;8.mlp:0.3133;11.attention:0.2566;16.attention:0.2527;5.attention:0.2350;6.attention:0.2321;17.attention:0.2260;19.mlp:0.2169;19.attention:-0.2128;3.attention:0.2069;20.attention:0.1490;2.mlp:0.1468;5.mlp:0.1289;17.mlp:0.1224;7.mlp:0.1199;1.attention:-0.1168;13.mlp:0.1150;10.mlp:-0.1120;2.attention:-0.1065;8.attention:0.1016;9.attention:-0.1001;12.attention:-0.0741;10.attention:-0.0682;12.mlp:0.0663;15.mlp:0.0638;13.attention:-0.0621;18.mlp:-0.0583;0.mlp:0.0542;18.attention:0.0353;14.attention:-0.0324;20.mlp:-0.0303;16.mlp:-0.0251;14.mlp:-0.0157;9.mlp:0.0018
gemma2,1200,-3,diff,pos-vs-neg,,,20.residual:11.4441;0.attention:1.0891;0.residual:-1.0040;11.mlp:0.7686;4.attention:0.4605;19.mlp:0.4252;20.attention:0.3973;6.mlp:0.3230;17.attention:0.3220;15.mlp:0.3143;0.mlp:0.3120;8.mlp:0.2810;3.attention:0.2723;17.mlp:0.2653;6.attention:0.2616;15.attention:0.2598;20.mlp:0.2588;7.mlp:0.2170;18.mlp:0.2132;5.attention:0.1955;5.mlp:0.1953;9.attention:-0.1942;10.mlp:0.1651;13.mlp:-0.1529;16.attention:0.1413;9.mlp:0.1271;13.attention:-0.1219;12.attention:-0.1210;8.attention:0.1146;2.attention:0.1094;14.mlp:0.1006;11.attention:0.0810;2.mlp:0.0679;12.mlp:-0.0551;19.attention:-0.0494;16.mlp:-0.0490;10.attention:0.0459;1.mlp:0.0438;4.mlp:0.0399;7.attention:0.0355;18.attention:0.0191;14.attention:-0.0138;1.attention:0.0034;3.mlp:-0.0004
gemma2,137,-1,diff,pos-vs-neg,,,0.residual:0.8786;9.attention:-0.7229;0.mlp:-0.4852;14.mlp:-0.4521;19.mlp:0.4388;13.mlp:-0.4216;20.mlp:-0.3768;2.attention:-0.3604;7.mlp:0.3315;10.mlp:-0.3139;8.mlp:0.2981;6.mlp:0.2943;3.mlp:-0.2908;11.attention:0.2732;4.attention:0.2666;8.attention:-0.2632;20.residual:-0.2591;13.attention:-0.2531;0.attention:-0.2444;1.mlp:-0.2415;16.attention:0.2378;16.mlp:-0.2348;19.attention:-0.2232;11.mlp:-0.2070;18.attention:0.2028;10.attention:-0.1832;5.attention:-0.1687;9.mlp:-0.1684;3.attention:0.1308;7.attention:0.1304;17.attention:-0.1230;6.attention:0.1211;20.attention:-0.1073;14.attention:0.1065;15.mlp:0.1050;17.mlp:0.1007;2.mlp:0.0923;4.mlp:0.0892;12.mlp:-0.0735;1.attention:-0.0527;5.mlp:-0.0335;12.attention:-0.0307;15.attention:-0.0242;18.mlp:0.0095
gemma2,137,-2,diff,pos-vs-neg,,,20.residual:7.9320;11.mlp:0.7149;0.residual:-0.6887;9.attention:-0.6218;0.attention:0.5688;7.mlp:0.5028;4.mlp:0.4814;19.mlp:0.4594;6.mlp:0.4225;1.attention:-0.4166;3.mlp:-0.3984;8.mlp:0.3592;4.attention:0.3470;13.attention:-0.3073;17.mlp:0.3012;19.attention:-0.3002;15.mlp:0.2853;10.attention:-0.2824;18.mlp:0.2300;1.mlp:0.2207;16.mlp:0.2190;20.mlp:0.2038;6.attention:0.1921;3.attention:-0.1900;17.attention:0.1864;2.attention:-0.1854;10.mlp:-0.1705;0.mlp:0.1673;20.attention:0.1453;11.attention:-0.1452;7.attention:-0.1343;14.mlp:0.1186;14.attention:0.1167;13.mlp:-0.1152;5.mlp:0.1030;8.attention:-0.0856;15.attention:-0.0811;5.attention:-0.0609;2.mlp:-0.0551;16.attention:-0.0386;9.mlp:-0.0377;12.mlp:0.0157;18.attention:-0.0110;12.attention:0.0004
gemma2,137,-3,diff,pos-vs-neg,,,20.residual:12.2220;0.attention:1.1922;20.mlp:0.6882;9.attention:-0.6805;18.mlp:0.5901;8.mlp:0.5868;0.residual:-0.5832;19.mlp:0.5779;7.mlp:0.4795;17.mlp:0.4721;6.mlp:0.4228;13.attention:-0.4201;17.attention:0.3289;2.mlp:0.2853;15.mlp:0.2818;11.mlp:0.2690;5.attention:-0.2387;11.attention:-0.2341;20.attention:0.2129;10.attention:-0.2000;16.attention:-0.1961;7.attention:-0.1804;4.attention:0.1747;8.attention:-0.1703;6.attention:0.1598;2.attention:-0.1482;16.mlp:0.1478;12.attention:-0.1307;14.mlp:0.1228;13.mlp:-0.1212;3.attention:-0.1185;9.mlp:0.1071;4.mlp:0.0695;15.attention:-0.0474;12.mlp:-0.0453;18.attention:-0.0425;19.attention:-0.0417;0.mlp:0.0396;1.attention:-0.0354;1.mlp:-0.0209;14.attention:0.0167;10.mlp:-0.0148;5.mlp:-0.0077;3.mlp:0.0035
gemma2,3949,-1,diff,pos-vs-neg,,,0.residual:1.4464;20.residual:-1.3944;9.attention:-0.7397;13.mlp:-0.6558;12.attention:0.5923;20.mlp:-0.4283;1.attention:0.4115;17.attention:-0.3962;14.mlp:-0.3888;8.attention:-0.3866;19.mlp:0.3827;7.mlp:0.3453;10.attention:-0.3424;3.mlp:-0.3343;10.mlp:-0.3154;0.mlp:-0.3010;11.attention:0.2873;16.attention:0.2500;1.mlp:-0.2361;13.attention:-0.2138;4.attention:0.2024;15.attention:-0.1939;4.mlp:-0.1902;8.mlp:0.1891;15.mlp:-0.1831;7.attention:0.1808;19.attention:-0.1619;2.mlp:0.1469;9.mlp:-0.1460;11.mlp:0.1443;18.mlp:-0.1381;6.attention:0.1172;0.attention:0.0984;16.mlp:0.0828;6.mlp:0.0819;5.attention:-0.0767;5.mlp:-0.0482;12.mlp:0.0332;20.attention:-0.0326;18.attention:0.0317;2.attention:-0.0265;3.attention:-0.0254;14.attention:0.0165;17.mlp:0.0039
gemma2,3949,-2,diff,pos-vs-neg,,,20.residual:4.3681;0.residual:-1.6429;9.attention:-0.7355;7.mlp:0.5698;11.mlp:0.5450;4.mlp:0.4726;3.mlp:-0.4716;8.attention:-0.4516;4.attention:0.4155;8.mlp:0.4033;10.attention:-0.3881;10.mlp:-0.3641;13.mlp:-0.3489;15.mlp:0.3444;0.attention:0.3283;13.attention:-0.3216;19.attention:-0.3153;18.attention:-0.3056;20.mlp:0.2895;12.attention:0.2618;6.mlp:0.2582;6.attention:0.2379;17.mlp:0.2314;17.attention:0.1998;2.mlp:0.1934;5.mlp:0.1900;16.mlp:0.1891;1.attention:-0.1875;5.attention:0.1544;7.attention:-0.1389;0.mlp:0.1344;19.mlp:0.1232;1.mlp:0.1165;12.mlp:0.0845;15.attention:-0.0808;18.mlp:0.0795;20.attention:0.0781;2.attention:0.0694;3.attention:-0.0622;14.mlp:-0.0589;11.attention:-0.0490;14.attention:-0.0295;16.attention:-0.0195;9.mlp:0.0095
gemma2,3949,-3,diff,pos-vs-neg,,,20.residual:7.4100;0.residual:-1.4185;0.attention:1.1203;9.attention:-0.6968;11.mlp:0.6868;8.mlp:0.6132;13.mlp:-0.5358;20.mlp:0.5337;8.attention:-0.4917;10.attention:-0.4321;19.mlp:0.3980;17.mlp:0.3811;0.mlp:0.3769;18.mlp:0.3750;17.attention:0.3576;10.mlp:-0.3129;4.attention:0.2879;7.mlp:0.2826;15.mlp:0.2582;6.mlp:0.2540;6.attention:0.2335;16.mlp:0.2245;18.attention:-0.2236;7.attention:-0.2157;13.attention:-0.2093;5.mlp:0.1922;9.mlp:0.1821;20.attention:0.1806;19.attention:-0.1520;2.mlp:0.1478;15.attention:-0.1256;2.attention:-0.1094;3.attention:-0.1015;12.attention:0.0969;3.mlp:-0.0790;5.attention:0.0754;16.attention:-0.0744;4.mlp:0.0700;14.mlp:0.0494;1.attention:0.0470;11.attention:-0.0347;1.mlp:-0.0107;14.attention:-0.0057;12.mlp:0.0015
gemma2,4086,-1,diff,pos-vs-neg,,,20.residual:7.1536;0.residual:1.8693;11.attention:1.1226;7.attention:1.0001;16.attention:0.8342;14.mlp:-0.6160;1.mlp:-0.5931;1.attention:0.5862;4.attention:0.5294;17.attention:-0.5007;19.mlp:0.4953;3.attention:0.4921;20.mlp:-0.4068;4.mlp:-0.3987;0.mlp:-0.3551;13.attention:0.3470;0.attention:-0.3162;13.mlp:-0.3000;6.mlp:-0.2853;5.mlp:0.2846;10.attention:0.2831;15.attention:0.2567;10.mlp:-0.2531;5.attention:0.2490;19.attention:-0.2324;9.attention:0.2318;6.attention:0.1912;11.mlp:0.1569;8.mlp:-0.1459;2.attention:0.1317;12.mlp:-0.1308;9.mlp:-0.1183;12.attention:0.1151;14.attention:-0.1072;18.attention:0.0974;20.attention:0.0968;7.mlp:0.0687;8.attention:0.0684;16.mlp:-0.0625;15.mlp:-0.0551;17.mlp:0.0388;18.mlp:-0.0251;3.mlp:-0.0135;2.mlp:-0.0095
gemma2,4086,-2,diff,pos-vs-neg,,,20.residual:15.5677;0.attention:0.8004;11.mlp:0.7010;0.residual:-0.6110;4.attention:0.5445;5.attention:0.4886;6.attention:0.4761;16.attention:0.4549;8.mlp:0.4530;6.mlp:0.4416;11.attention:0.4362;7.attention:0.4118;0.mlp:0.3787;15.attention:0.3699;3.mlp:-0.3619;7.mlp:0.3572;1.mlp:0.3408;2.mlp:0.3319;19.mlp:0.3268;20.mlp:0.3244;15.mlp:0.3026;4.mlp:0.2652;9.mlp:0.2529;20.attention:0.2385;13.attention:0.2016;17.attention:0.1796;1.attention:0.1689;2.attention:0.1652;19.attention:-0.1509;14.mlp:-0.1443;5.mlp:0.1172;16.mlp:0.1148;13.mlp:0.1100;9.attention:-0.0832;8.attention:0.0749;3.attention:0.0728;18.mlp:0.0722;14.attention:-0.0720;18.attention:0.0681;10.mlp:-0.0526;12.mlp:0.0342;12.attention:0.0307;10.attention:0.0204;17.mlp:0.0168
gemma2,4086,-3,diff,pos-vs-neg,,,20.residual:18.9038;0.attention:1.3856;4.attention:0.5866;11.mlp:0.5775;0.residual:-0.5744;8.mlp:0.5599;5.attention:0.5594;11.attention:0.5107;16.attention:0.5069;18.mlp:0.4644;6.mlp:0.4368;20.mlp:0.4270;20.attention:0.4045;1.attention:0.3954;3.attention:0.3724;7.attention:0.3705;19.mlp:0.3588;15.mlp:0.3408;17.mlp:0.3392;15.attention:0.2953;5.mlp:0.2842;6.attention:0.2782;1.mlp:-0.2031;7.mlp:0.1869;18.attention:0.1847;9.mlp:0.1802;17.attention:0.1754;16.mlp:0.1616;2.attention:0.1428;10.attention:0.1394;14.mlp:-0.1352;9.attention:0.1186;13.attention:0.1186;12.mlp:0.1139;19.attention:-0.1030;10.mlp:0.0969;3.mlp:0.0962;2.mlp:0.0864;4.mlp:0.0623;8.attention:0.0601;12.attention:0.0552;0.mlp:0.0496;13.mlp:0.0074;14.attention:-0.0039
gemma2,4287,-1,diff,pos-vs-neg,,,0.residual:3.7384;0.mlp:-0.8874;1.mlp:-0.8335;7.attention:0.5203;11.attention:0.5147;13.mlp:-0.5129;3.mlp:-0.4947;0.attention:-0.4665;8.mlp:-0.4451;20.residual:-0.4187;19.attention:-0.3884;15.attention:0.3568;4.attention:0.3238;20.mlp:-0.3186;13.attention:0.2890;14.mlp:-0.2558;4.mlp:-0.2342;18.mlp:-0.2313;3.attention:0.2151;10.attention:0.2133;9.mlp:-0.2030;17.mlp:-0.1994;5.mlp:-0.1937;14.attention:-0.1858;9.attention:0.1779;17.attention:-0.1639;2.attention:-0.1403;2.mlp:0.1334;6.mlp:0.1312;11.mlp:0.1115;18.attention:-0.1112;16.attention:0.1003;12.mlp:0.0953;1.attention:0.0923;7.mlp:-0.0874;5.attention:-0.0836;19.mlp:-0.0701;12.attention:0.0616;16.mlp:-0.0515;6.attention:0.0513;15.mlp:0.0242;8.attention:-0.0068;20.attention:-0.0065;10.mlp:0.0032
gemma2,4287,-2,diff,pos-vs-neg,,,0.residual:-2.0516;3.mlp:-0.5834;1.mlp:0.5387;20.residual:-0.5326;0.mlp:0.5051;8.mlp:-0.4498;7.attention:0.4364;19.attention:-0.3854;13.mlp:-0.3782;11.attention:0.3415;15.attention:0.3288;7.mlp:0.2701;9.attention:0.2676;10.mlp:-0.2580;1.attention:-0.2573;15.mlp:0.2441;11.mlp:0.2413;17.mlp:0.2093;6.mlp:-0.1988;2.mlp:0.1882;5.attention:0.1848;17.attention:0.1603;4.attention:0.1514;3.attention:0.1452;20.mlp:0.1350;10.attention:0.1313;14.mlp:-0.1311;14.attention:-0.1111;20.attention:0.1099;0.attention:0.1094;5.mlp:-0.0867;19.mlp:0.0854;12.mlp:0.0819;12.attention:0.0751;18.attention:0.0686;16.attention:-0.0607;9.mlp:0.0459;4.mlp:0.0437;6.attention:0.0221;2.attention:0.0196;13.attention:0.0134;8.attention:-0.0109;16.mlp:0.0099;18.mlp:-0.0083
