steering_vector,X_tsne
1161,"[[ -10.020697  -107.91978  ]
 [  10.542924    -8.604622 ]
 [ -32.61845    -73.97005  ]
 [  49.915       76.46522  ]
 [  -1.4790057  -74.47244  ]
 [  82.25198     30.521847 ]
 [  30.802086   -68.640236 ]
 [  62.697323    66.52636  ]
 [ -51.328434   -19.9805   ]
 [   8.400554   -42.445747 ]
 [ -21.371807   -41.93295  ]
 [  77.17574     50.091152 ]
 [ -58.3245     -50.15637  ]
 [  -8.502465   -54.893715 ]]"
1200,"[[-16.873203    20.64427   ]
 [ 11.976439     7.8459563 ]
 [-19.838276   -30.836315  ]
 [ -6.4933295   87.367645  ]
 [  2.5626464  -32.273987  ]
 [ 18.460619    65.17162   ]
 [-12.113592   -52.8014    ]
 [  0.9004691   78.49761   ]
 [ 25.013966   -21.83969   ]
 [ -0.05164874 -10.488198  ]
 [-40.332386   -35.146618  ]
 [  1.7706888   63.72851   ]
 [-24.053041    -8.367025  ]
 [ -7.0400696  -20.313543  ]]"
137,"[[-42.558975   -2.7622895]
 [-15.888443   11.166214 ]
 [-39.134182    9.886629 ]
 [ 15.05746     6.4759884]
 [-32.202007    2.9470692]
 [ 15.529625   23.653801 ]
 [-45.76329    18.24346  ]
 [ 16.6384     11.55425  ]
 [-22.276665   -1.7765169]
 [-26.14315    11.183753 ]
 [-34.819084   18.409983 ]
 [ 18.784595   17.605593 ]
 [-24.787113   23.412802 ]
 [-31.70529    10.59405  ]]"
3949,"[[ -1.2837964   7.2692213]
 [ -8.200606  -10.003303 ]
 [  9.309626  -17.412481 ]
 [-45.8122     -4.931527 ]
 [ 16.381195   -6.583596 ]
 [-30.555105  -20.156382 ]
 [ 22.47424     6.662717 ]
 [-42.71041   -10.212582 ]
 [ 25.426998  -19.24534  ]
 [  3.1337662  -6.8451505]
 [ 10.713045    4.2444143]
 [-37.26527   -16.045301 ]
 [ 28.775146   -6.653059 ]
 [ 10.251186   -4.6236243]]"
4086,"[[ -21.234436   27.499657]
 [ -18.701784  -39.194424]
 [  38.26839    19.079742]
 [-105.811356   48.55759 ]
 [ -11.206015   -5.541316]
 [-100.82078    11.218074]
 [  36.566055   -9.856219]
 [ -99.53906    34.809174]
 [  26.863644  -60.35422 ]
 [   8.324603  -24.085411]
 [  10.784492   12.704319]
 [ -80.84128    27.394318]
 [  40.901222  -39.028843]
 [  12.530396   -9.544372]]"
4287,"[[-105.36721    100.289345 ]
 [  -1.0760683   -8.153774 ]
 [  11.245156   -93.761    ]
 [ -51.929314    63.580357 ]
 [   6.744557   -55.539654 ]
 [-103.9285      51.240635 ]
 [  72.917786   -66.7089   ]
 [ -70.28103     64.349754 ]
 [  57.664364     3.0090902]
 [  27.300125   -30.007774 ]
 [  39.682995   -75.34171  ]
 [ -94.79366     75.0678   ]
 [  66.25022    -29.696083 ]
 [  33.28356    -47.884705 ]]"
5548,"[[ 14.220263   -9.64042  ]
 [ 55.010986   32.38401  ]
 [ -6.4360123  38.906258 ]
 [-57.30285   -22.137915 ]
 [ 10.680804   15.646065 ]
 [-38.2601    -54.582108 ]
 [ 15.266376   59.621864 ]
 [-54.350117  -33.0779   ]
 [ 48.48677     0.0750467]
 [ 14.886086   35.59535  ]
 [ 33.744083   41.783672 ]
 [-51.284885  -47.87144  ]
 [ 33.93172    14.007161 ]
 [ 23.687607   28.087515 ]]"
6832,"[[ 31.515955   -26.331713  ]
 [  8.240393   -36.968338  ]
 [ -9.147078    -2.310968  ]
 [-74.35491     13.71603   ]
 [ 17.197119   -14.097285  ]
 [-47.51682     32.790565  ]
 [-18.161556   -19.350916  ]
 [-68.08255     20.503008  ]
 [ 22.208794    16.810135  ]
 [  7.088187     1.8685507 ]
 [ -0.2749411  -19.723598  ]
 [-58.535473    27.982626  ]
 [ 29.905464     0.12262778]
 [  8.718823    -9.86673   ]]"
695,"[[ 13.262628   -9.639091 ]
 [ -7.3195715   7.5195165]
 [ 25.893623    3.611099 ]
 [-54.569702    5.316824 ]
 [ 10.833477    8.449154 ]
 [-38.8603    -18.366983 ]
 [ 39.48728    -2.2953844]
 [-52.00854    -2.2262616]
 [  5.7864046  39.255142 ]
 [ 20.38433    22.110247 ]
 [ 35.214928   16.923527 ]
 [-46.713223  -11.359305 ]
 [  4.2621355  26.366552 ]
 [ 18.57722    11.461485 ]]"
709,"[[ 68.15926    -33.072853  ]
 [  4.765023   -11.064265  ]
 [ 52.199863   -16.332096  ]
 [-61.84503     -0.54157555]
 [ 30.112179   -23.057056  ]
 [-32.692085   -19.88393   ]
 [ 63.516674     2.053367  ]
 [-54.80477     -8.651896  ]
 [ 24.638626    20.989092  ]
 [ 27.77881     -4.943664  ]
 [ 43.27692    -38.335953  ]
 [-47.313797   -20.646622  ]
 [ 44.280586    10.677623  ]
 [ 37.800274   -10.859642  ]]"
7988,"[[ -39.784573     -8.526972  ]
 [  24.887314     -9.717732  ]
 [  27.199997     48.70278   ]
 [  26.829655   -149.14384   ]
 [ -14.166247     68.595726  ]
 [  55.807697    -78.116905  ]
 [ -58.415318     80.197296  ]
 [  39.289936   -131.98123   ]
 [  40.8107       96.49538   ]
 [  -0.49162278   21.456131  ]
 [ -43.996098     35.837143  ]
 [  50.805946   -105.47418   ]
 [  -4.717933    110.65273   ]
 [  -7.8067117    41.932682  ]]"
8015,"[[ 42.4876    56.557774]
 [  2.479395   5.285948]
 [ 27.885345   8.956524]
 [-60.257225  -8.923485]
 [ 47.604847  16.293442]
 [-28.80757  -23.152395]
 [ 61.307858  32.290535]
 [-52.43748  -16.271074]
 [ 16.637701  50.174397]
 [ 37.92308   33.269684]
 [ 45.88513   -4.482138]
 [-42.9611   -25.743334]
 [ 15.570688  29.825714]
 [ 34.83369   23.063723]]"
